all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
all           0      1    2    3    4    5    6    7    8    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
1      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
2      2010   1914   1    19   32   19   1    11   6    7    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
3      2010   1914   1    19   32   19   1    11   5    8    
4      2010   1914   1    19   32   19   1    10   6    8    
4      2010   1914   1    19   32   19   1    10   6    8    
4      2010   1914   1    19   32   19   1    10   6    8    
4      2010   1914   1    19   32   19   1    10   6    8    
4      2010   1914   1    19   32   19   1    10   6    8    
4      2010   1914   1    19   32   19   1    10   6    8    
